College,Location,State,Program ,Course / Specialization,Total Fee (INR),Notes
Srinivas University,"Pandeshwar, Mangalore",Karnataka,UG IT,BCA - AI & Advanced Specializations (IBM),"4,59,000",
Srinivas University,"Pandeshwar, Mangalore",Karnataka,UG Management,BBA - AI / Data Science / E-Commerce,"4,49,000",
Srinivas University,"Pandeshwar, Mangalore",Karnataka,UG Commerce,B.Com International Accounting (ACCA),"4,19,000",
Srinivas University,"Pandeshwar, Mangalore",Karnataka,UG Allied Health,BPT / BOT,"8,59,500",
Srinivas University,"Pandeshwar, Mangalore",Karnataka,PG,MBA Regular (Dual Specialization),"4,28,500",
Srinivas University,"Pandeshwar, Mangalore",Karnataka,PG,MCA (Dual Specialization),"2,78,500",
Srinivas University,"Mukka (Surathkal), Mangalore",Karnataka,B.Tech,B.Tech CS / AIML / Cyber Security,"8,74,500",Total 4-year
Srinivas University,"Mukka (Surathkal), Mangalore",Karnataka,B.Tech,B.Tech Mechanical / ECE,"5,69,500",
Srinivas University,"Mukka (Surathkal), Mangalore",Karnataka,B.Tech,B.Tech Marine Engineering,"10,19,500",
Srinivas University,"Mukka (Surathkal), Mangalore",Karnataka,M.Tech,M.Tech CS / Digital Electronics,"1,73,500",
Srinivas University,"Mukka (Surathkal), Mangalore",Karnataka,UG Allied Health,B.Sc Cardiovascular Technology,"9,29,000",
Srinivas University,"Mukka (Surathkal), Mangalore",Karnataka,UG Allied Health,B.Sc Cardiac Care Technology,"7,09,000",
Srinivas University,"Mukka (Surathkal), Mangalore",Karnataka,UG Allied Health,B.Sc Anesthesia & OT / Medical Imaging,"6,29,000",
Srinivas University,"Mukka (Surathkal), Mangalore",Karnataka,UG Allied Health,"B.Sc Nursing (Girls, without hostel)","10,04,500",
Srinivas University,"Mukka (Surathkal), Mangalore",Karnataka,PG Allied Health,M.Sc Allied Health Sciences,"2,78,500",
Srinivas University,"Valachil, Mangalore",Karnataka,B.Tech,B.Tech CS / AIML / AIDS,"8,74,500",
Srinivas University,"Valachil, Mangalore",Karnataka,B.Tech,B.Tech ECE / Mechanical / Aeronautical,"5,69,500",
Srinivas University,"Valachil, Mangalore",Karnataka,B.Arch,B.Architecture (NATA),"6,40,000",
Srinivas University,"Koramangala, Bengaluru",Karnataka,UG IT,BCA AI & Machine Learning,"2,95,000",
Srinivas University,"Koramangala, Bengaluru",Karnataka,UG IT,BCA AI & Data Science,"3,30,000",
Srinivas University,"Koramangala, Bengaluru",Karnataka,UG Management,BBA Aviation & Logistics Management,"2,95,000",
Srinivas University,"Koramangala, Bengaluru",Karnataka,PG,MBA,"3,50,000",
East Point Group of Institutions,"Virgonagar, Bengaluru",Karnataka,BE,CSE / AI-ML / Data Science,"14,25,000",Total 4-year
East Point Group of Institutions,"Virgonagar, Bengaluru",Karnataka,BE,CSE - IoT & Cyber Security,"13,75,000",
East Point Group of Institutions,"Virgonagar, Bengaluru",Karnataka,BE,Information Science & Engineering,"12,25,000",
East Point Group of Institutions,"Virgonagar, Bengaluru",Karnataka,BE,Electronics & Communication,"10,05,000",
East Point Group of Institutions,"Virgonagar, Bengaluru",Karnataka,BE,Civil Engineering,"6,50,000",
East Point Group of Institutions,"Virgonagar, Bengaluru",Karnataka,M.Tech,M.Tech Construction Technology / Product Design,"2,00,000",
East Point Group of Institutions,"Virgonagar, Bengaluru",Karnataka,BBA,BBA Professional,"3,35,000",
East Point Group of Institutions,"Virgonagar, Bengaluru",Karnataka,BBA,BBA Aviation Management,"3,40,000",
East Point Group of Institutions,"Virgonagar, Bengaluru",Karnataka,BCA,BCA Professional,"3,40,000",
East Point Group of Institutions,"Virgonagar, Bengaluru",Karnataka,BCA,BCA AI / Data Science,"3,70,000",
East Point Group of Institutions,"Virgonagar, Bengaluru",Karnataka,B.Com,B.Com Professional,"2,80,000",
East Point Group of Institutions,"Virgonagar, Bengaluru",Karnataka,MBA,MBA,"5,10,000",
East Point Group of Institutions,"Virgonagar, Bengaluru",Karnataka,MBA,MBA Professional,"5,80,000",
East Point Group of Institutions,"Virgonagar, Bengaluru",Karnataka,MCA,MCA,"4,00,000",
East Point Group of Institutions,"Virgonagar, Bengaluru",Karnataka,B.Pharm,Bachelor of Pharmacy,"6,85,000",
East Point Group of Institutions,"Virgonagar, Bengaluru",Karnataka,D.Pharm,Diploma in Pharmacy,"1,90,000",
East Point Group of Institutions,"Virgonagar, Bengaluru",Karnataka,Pharm.D,Doctor of Pharmacy,"17,90,000",
East Point Group of Institutions,"Virgonagar, Bengaluru",Karnataka,UG Allied Health,B.Sc Cardiac Care Technology,"9,25,000",
East Point Group of Institutions,"Virgonagar, Bengaluru",Karnataka,UG Allied Health,B.Sc Anesthesia & OT Technology,"7,50,000",
East Point Group of Institutions,"Virgonagar, Bengaluru",Karnataka,UG Allied Health,B.Sc Medical Imaging Technology,"6,50,000",
East Point Group of Institutions,"Virgonagar, Bengaluru",Karnataka,UG Allied Health,B.Sc MLT,"4,10,000",
East Point Group of Institutions,"Virgonagar, Bengaluru",Karnataka,UG Allied Health,BPT - Physiotherapy,"6,90,000",
East Point Group of Institutions,"Virgonagar, Bengaluru",Karnataka,PG Allied Health,MPT (Musculoskeletal / Sports / Neurological),"6,00,000",
East Point Group of Institutions,"Virgonagar, Bengaluru",Karnataka,UG Nursing,B.Sc Nursing (with hostel) - Female,Varies,Hostel-inclusive; see fee sheet
East Point Group of Institutions,"Virgonagar, Bengaluru",Karnataka,UG Nursing,GNM (with hostel),"5,65,000",
Brindavan College,"Yelahanka, Bengaluru",Karnataka,BE,CSE,"10,80,000",Total 4-year
Brindavan College,"Yelahanka, Bengaluru",Karnataka,BE,CSE - AI & ML,"8,80,000",
Brindavan College,"Yelahanka, Bengaluru",Karnataka,BE,Information Science & Engineering,"8,40,000",
Brindavan College,"Yelahanka, Bengaluru",Karnataka,BE,"IoT, Cyber Security & Blockchain","7,20,000",
Brindavan College,"Yelahanka, Bengaluru",Karnataka,BE,ECE,"6,40,000",
Brindavan College,"Yelahanka, Bengaluru",Karnataka,BE,Civil Engineering,"4,00,000",
Brindavan College,"Yelahanka, Bengaluru",Karnataka,BE,Mechanical Engineering,"4,00,000",
Brindavan College,"Yelahanka, Bengaluru",Karnataka,M.Tech,M.Tech CS / Civil,"1,60,000",
Brindavan College,"Yelahanka, Bengaluru",Karnataka,BBA,BBA,"2,50,000",Total 3-year
Brindavan College,"Yelahanka, Bengaluru",Karnataka,BBA,BBA - Aviation / Logistics / Hospital Admin,"3,25,000",
Brindavan College,"Yelahanka, Bengaluru",Karnataka,B.Com,B.Com,"1,80,000",
Brindavan College,"Yelahanka, Bengaluru",Karnataka,B.Com,B.Com - ACCA / Logistics / Banking,"3,10,000 – 3,75,000",
Brindavan College,"Yelahanka, Bengaluru",Karnataka,BCA,BCA (All Specializations),"3,75,000",
Brindavan College,"Yelahanka, Bengaluru",Karnataka,B.Sc,B.Sc Computer Science,"2,20,000",
Brindavan College,"Yelahanka, Bengaluru",Karnataka,MBA,MBA (BCU & VTU),"2,50,000",Per year
Brindavan College,"Yelahanka, Bengaluru",Karnataka,MCA,MCA (BCU & VTU),"1,50,000",Per year
Brindavan College,"Yelahanka, Bengaluru",Karnataka,Diploma,Diploma CS / ECE,"1,55,000",
Brindavan College,"Yelahanka, Bengaluru",Karnataka,PUC,PUC Science,"1,30,000",
Brindavan College,"Yelahanka, Bengaluru",Karnataka,PUC,PUC Commerce,"1,10,000",
Akash Group of Institutions,Bengaluru,Karnataka,BE,CSE / CSE AI-ML,"8,25,000",Total 4-year; Non-Karnataka fee
Akash Group of Institutions,Bengaluru,Karnataka,BE,AI & Data Science,"7,50,000",
Akash Group of Institutions,Bengaluru,Karnataka,BE,CSE Cyber Security / Data Science,"6,60,000",
Akash Group of Institutions,Bengaluru,Karnataka,BE,Information Science & Engineering,"5,50,000",
Akash Group of Institutions,Bengaluru,Karnataka,BE,ECE,"5,50,000",
Akash Group of Institutions,Bengaluru,Karnataka,BE,Mechanical Engineering,"3,45,000",
Akash Group of Institutions,Bengaluru,Karnataka,MBA,MBA Advanced,"3,60,000",
Akash Group of Institutions,Bengaluru,Karnataka,MCA,MCA Advanced,"2,90,000",
Akash Group of Institutions,Bengaluru,Karnataka,BBA,BBA Advanced,"3,35,000",
Akash Group of Institutions,Bengaluru,Karnataka,BBA,BBA Aviation Management (Advanced),"3,55,000",
Akash Group of Institutions,Bengaluru,Karnataka,BCA,BCA Advanced,"3,55,000",
Akash Group of Institutions,Bengaluru,Karnataka,B.Com,B.Com Advanced,"2,20,000",
Akash Group of Institutions,Bengaluru,Karnataka,UG Allied Health,BPT - Physiotherapy,"6,65,000",
Akash Group of Institutions,Bengaluru,Karnataka,PG Allied Health,MPT - Musculoskeletal / Neurological Sciences,"4,75,000",
Akash Group of Institutions,Bengaluru,Karnataka,UG Allied Health,B.Sc Cardiac Care Technology,"7,75,000",
Akash Group of Institutions,Bengaluru,Karnataka,UG Allied Health,B.Sc Anesthesia & OT / Medical Imaging,"5,15,000",
Akash Group of Institutions,Bengaluru,Karnataka,UG Allied Health,B.Sc Perfusion Technology,"4,45,000",
Akash Group of Institutions,Bengaluru,Karnataka,UG Allied Health,B.Sc MLT / Renal Dialysis,"3,30,000",
Akash Group of Institutions,Bengaluru,Karnataka,UG Allied Health,B.Sc Optometry,"2,95,000",
Akash Group of Institutions,Bengaluru,Karnataka,B.Pharm,B.Pharm,"5,45,000",
Akash Group of Institutions,Bengaluru,Karnataka,UG Nursing,B.Sc Nursing,"6,95,000",
Akash Group of Institutions,Bengaluru,Karnataka,Paramedical Diploma,Diploma OT & AT / MLT,"2,05,000",
Akash Group of Institutions,Bengaluru,Karnataka,Paramedical Diploma,Diploma Imaging Technology,"1,90,000",
Akash Group of Institutions,Bengaluru,Karnataka,Paramedical Diploma,Diploma Health Inspector / Dialysis,"1,50,000",
GEMS College (Ramapuram),"Ramapuram, Kerala",Kerala,BBA,BBA + Aviation & Logistics,"2,50,250",Total 3-year; includes 18% GST
GEMS College (Ramapuram),"Ramapuram, Kerala",Kerala,BBA,BBA,"1,83,000",Total 3-year; includes 18% GST
GEMS College (Ramapuram),"Ramapuram, Kerala",Kerala,B.Com,B.Com CA + Aviation & Logistics / Game Development,"2,66,250",
GEMS College (Ramapuram),"Ramapuram, Kerala",Kerala,B.Com,"B.Com CA + Cyber Security, EH & Data Science","2,66,250",
GEMS College (Ramapuram),"Ramapuram, Kerala",Kerala,B.Com,B.Com Finance / Co-operation / Banking & Insurance,"1,83,000",
GEMS College (Ramapuram),"Ramapuram, Kerala",Kerala,BTTM,BTTM + Aviation & Logistics,"2,66,250",
GEMS College (Ramapuram),"Ramapuram, Kerala",Kerala,BA,BA English + Aviation & Logistics / Game Development,"2,50,250",
GEMS College (Ramapuram),"Ramapuram, Kerala",Kerala,BA,BA Sociology + Counselling Psychology,"1,83,000",
GEMS College (Ramapuram),"Ramapuram, Kerala",Kerala,BA,BA Multimedia + Game Development / CS & EH,"3,51,750",
GEMS College (Ramapuram),"Ramapuram, Kerala",Kerala,BCA,BCA + CS / EH / Game Development,"3,17,250",
GEMS College (Ramapuram),"Ramapuram, Kerala",Kerala,B.Sc,B.Sc Microbiology + Food Processing,"3,21,750",
GEMS College (Ramapuram),"Ramapuram, Kerala",Kerala,B.Sc,B.Sc AI + CS / EH / Game Development,"3,51,750",
GEMS College (Ramapuram),"Ramapuram, Kerala",Kerala,B.Sc,B.Sc Computer Science + CS / EH / Game Development,"3,17,250",
GEMS College (Ramapuram),"Ramapuram, Kerala",Kerala,B.Sc,B.Sc Biotechnology + Food Processing,"3,21,750",
GEMS College (Ramapuram),"Ramapuram, Kerala",Kerala,B.Sc,B.Sc Geology + Disaster Management,"2,66,250",
KMM College of Arts & Science,"Thrikkakara, Ernakulam",Kerala,BBA,"BBA + Aviation, Logistics & SCM","3,95,000","Total 3-year; Adm. fee ₹30,000 extra"
KMM College of Arts & Science,"Thrikkakara, Ernakulam",Kerala,BBA,BBA + Business Analytics & Digital Marketing,"3,95,000",
KMM College of Arts & Science,"Thrikkakara, Ernakulam",Kerala,BBA,BBA + Aviation & Airport Management,"3,75,000",
KMM College of Arts & Science,"Thrikkakara, Ernakulam",Kerala,BBA,BBA + Hospital Administration,"3,95,000",
KMM College of Arts & Science,"Thrikkakara, Ernakulam",Kerala,BBA,BBA + Entrepreneurship,"3,95,000",
KMM College of Arts & Science,"Thrikkakara, Ernakulam",Kerala,BCA,BCA + AI & Data Science,"3,85,000",
KMM College of Arts & Science,"Thrikkakara, Ernakulam",Kerala,BCA,BCA + AI & Robotics,"3,85,000",
KMM College of Arts & Science,"Thrikkakara, Ernakulam",Kerala,BCA,BCA + Cloud Computing & Cyber Security,"3,85,000",
KMM College of Arts & Science,"Thrikkakara, Ernakulam",Kerala,B.Com,"B.Com + Aviation, Logistics & SCM","3,55,000",
KMM College of Arts & Science,"Thrikkakara, Ernakulam",Kerala,B.Com,B.Com + CMA (USA),"3,65,000",
KMM College of Arts & Science,"Thrikkakara, Ernakulam",Kerala,B.Com,B.Com + ACCA (UK),"3,95,000",
KMM College of Arts & Science,"Thrikkakara, Ernakulam",Kerala,B.Sc,B.Sc CS + AI & DevOps,"3,75,000",
KMM College of Arts & Science,"Thrikkakara, Ernakulam",Kerala,B.Sc,B.Sc Cyber Forensic + Cyber Security,"3,75,000",
KMM College of Arts & Science,"Thrikkakara, Ernakulam",Kerala,B.Sc,B.Sc Psychology + Counselling,"3,55,000",
KMM College of Arts & Science,"Thrikkakara, Ernakulam",Kerala,B.Sc,B.Sc Fashion & Apparel Design,"2,95,000",
KMM College of Arts & Science,"Thrikkakara, Ernakulam",Kerala,BA,BA English + Content Creation,"3,55,000",
KMM College of Arts & Science,"Thrikkakara, Ernakulam",Kerala,BSW,BSW Digital Skills for Social Work,"1,32,000",
KMM College of Arts & Science,"Thrikkakara, Ernakulam",Kerala,B.Sc,B.Sc Mathematics,"2,95,000",
KMM College of Arts & Science,"Thrikkakara, Ernakulam",Kerala,MCA,MCA + AI & Robotics (Integrated / International),"4,65,000",
KMM College of Arts & Science,"Thrikkakara, Ernakulam",Kerala,MCA,MCA + AI & Data Science,"2,85,000 – 3,95,000",
KMM College of Arts & Science,"Thrikkakara, Ernakulam",Kerala,MBA,MBA (Single/Dual) + Digital Marketing / Applied AI,"5,25,000",
KMM College of Arts & Science,"Thrikkakara, Ernakulam",Kerala,MBA,Integrated MBA + Aviation & Logistics (International),"5,25,000",
KMM College of Arts & Science,"Thrikkakara, Ernakulam",Kerala,MSW,MSW + Counselling & Mental Health,"4,65,000",
KMM College of Arts & Science,"Thrikkakara, Ernakulam",Kerala,M.Sc,M.Sc Cyber Forensic,"4,65,000",
KMM College of Arts & Science,"Thrikkakara, Ernakulam",Kerala,M.Sc,M.Sc Psychology + Counselling,"4,65,000",
Athena Group of Institutions,Mangalore,Karnataka,GNM,GNM - Girls (with hostel),"2,85,000",Total 3-year; hostel incl.
Athena Group of Institutions,Mangalore,Karnataka,GNM,GNM - Boys (with hostel),"5,40,000",Total 3-year
Athena Group of Institutions,Mangalore,Karnataka,PG Nursing,P.B. B.Sc Nursing,"3,70,000",Total 2-year
Athena Group of Institutions,Mangalore,Karnataka,PG Nursing,M.Sc Nursing,"2,02,500",Total 2-year
Athena Group of Institutions,Mangalore,Karnataka,UG Allied Health,B.Sc MIT (Girls),"2,90,000",Total 4-year
Athena Group of Institutions,Mangalore,Karnataka,UG Allied Health,B.Sc MLT (Girls),"2,60,000",
Athena Group of Institutions,Mangalore,Karnataka,UG Allied Health,B.Sc AT&OT (Girls),"2,60,000",
Athena Group of Institutions,Mangalore,Karnataka,UG Allied Health,B.Sc Radiography / Respiratory / EM (Girls),"1,95,000 – 2,90,000",
Athena Group of Institutions,Mangalore,Karnataka,UG Allied Health,B.Sc MIT (Boys),"3,10,000",
Athena Group of Institutions,Mangalore,Karnataka,UG Allied Health,BOT - Bachelor of Occupational Therapy,"4,70,000",
Athena Group of Institutions,Mangalore,Karnataka,PG Allied Health,M.Sc Allied Health (MIT / RDT / MLT),"2,00,000",
Yenepoya University (Mudipu Campus),"Mudipu, Mangalore",Karnataka,BCA,BCA (All AI/Cyber Security/Data Science Specializations),"4,55,000","Total 3-year: ₹1,91,000 + 2×₹1,32,000"
Yenepoya University (Mudipu Campus),"Mudipu, Mangalore",Karnataka,BBA,BBA (Aviation / HR / FinTech / AI & Analytics),"4,55,000",Total 3-year
Yenepoya University (Mudipu Campus),"Mudipu, Mangalore",Karnataka,MBA,MBA Leap (All Specializations),"6,29,000",Total 2-year
Christian College Bangalore,"Horamavu, Bengaluru",Karnataka,BBA,BBA,"2,10,000",Total 3-year
Christian College Bangalore,"Horamavu, Bengaluru",Karnataka,BBA,BBA Aviation Management,"2,95,000",
Christian College Bangalore,"Horamavu, Bengaluru",Karnataka,BBA,BBA IATA,"3,35,000",
Christian College Bangalore,"Horamavu, Bengaluru",Karnataka,B.Com,B.Com,"1,70,000",
Christian College Bangalore,"Horamavu, Bengaluru",Karnataka,B.Com,B.Com Logistics,"3,15,000",
Christian College Bangalore,"Horamavu, Bengaluru",Karnataka,B.Com,B.Com with ACCA,"3,35,000",
Christian College Bangalore,"Horamavu, Bengaluru",Karnataka,BCA,BCA (Cloud / AI / Digital Marketing),"2,80,000 – 3,50,000",
Christian College Bangalore,"Horamavu, Bengaluru",Karnataka,B.Sc,B.Sc Nutrition & Dietetics,"2,80,000",
Christian College Bangalore,"Horamavu, Bengaluru",Karnataka,MBA,MBA,"4,50,000",
Christian College Bangalore,"Horamavu, Bengaluru",Karnataka,UG Allied Health,BPT,"8,75,000",
Christian College Bangalore,"Horamavu, Bengaluru",Karnataka,UG Allied Health,B.Sc Optometry,"2,70,000",
Christian College Bangalore,"Horamavu, Bengaluru",Karnataka,UG Allied Health,B.Sc Cardiac Care Technology,"6,00,000",
Christian College Bangalore,"Horamavu, Bengaluru",Karnataka,UG Allied Health,B.Sc Perfusion Technology,"3,50,000",
Christian College Bangalore,"Horamavu, Bengaluru",Karnataka,UG Allied Health,B.Sc Medical Imaging Technology,"4,50,000",
Christian College Bangalore,"Horamavu, Bengaluru",Karnataka,UG Nursing,B.Sc Nursing - Girls,"9,50,000",Package incl. food & accom.
Christian College Bangalore,"Horamavu, Bengaluru",Karnataka,UG Nursing,B.Sc Nursing - Boys,"9,50,000",
Christian College Bangalore,"Horamavu, Bengaluru",Karnataka,UG Nursing,GNM - Girls,"3,95,000",
Christian College Bangalore,"Horamavu, Bengaluru",Karnataka,UG Nursing,GNM - Boys,"4,10,000",
Christian College Bangalore,"Horamavu, Bengaluru",Karnataka,PG Nursing,M.Sc Nursing (Medical Surgical),"2,30,000",
Christian College Bangalore,"Horamavu, Bengaluru",Karnataka,PG Nursing,M.Sc Nursing (OBG / Psychiatric),"2,20,000",
SEA Group of Institutions,Bengaluru,Karnataka,BE/B.Tech,CSE,"13,75,000",Total 4-year (₹3.25L + 3×3L + admission)
SEA Group of Institutions,Bengaluru,Karnataka,BE/B.Tech,AI & ML / AI & Data Science,"11,50,000",
SEA Group of Institutions,Bengaluru,Karnataka,BE/B.Tech,ECE / IoT & Cyber Security,"8,25,000",
SEA Group of Institutions,Bengaluru,Karnataka,BE/B.Tech,ISE,"8,25,000",
SEA Group of Institutions,Bengaluru,Karnataka,BE/B.Tech,Mechanical / Civil Engineering,"5,25,000",
SEA Group of Institutions,Bengaluru,Karnataka,B.Com,B.Com,"2,15,000",Total 3-year (adm. extra)
SEA Group of Institutions,Bengaluru,Karnataka,BBA,BBA,"2,75,000",
SEA Group of Institutions,Bengaluru,Karnataka,BCA,BCA,"3,50,000",
SEA Group of Institutions,Bengaluru,Karnataka,BCA,BCA Advanced (AI/ML/Cloud/Cyber),"4,15,000",
SEA Group of Institutions,Bengaluru,Karnataka,BBA,BBA Advanced (Logistics / Business Analytics),"3,65,000",
SEA Group of Institutions,Bengaluru,Karnataka,BA,BA (All Combinations),"2,30,000",
SEA Group of Institutions,Bengaluru,Karnataka,B.Sc,B.Sc (All Combinations),"2,75,000",
SEA Group of Institutions,Bengaluru,Karnataka,MBA,MBA (BNU Autonomous),"4,15,000",Total 2-year
SEA Group of Institutions,Bengaluru,Karnataka,MBA,MBA (VTU),"3,40,000",
SEA Group of Institutions,Bengaluru,Karnataka,MCA,MCA,"3,80,000",
SEA Group of Institutions,Bengaluru,Karnataka,M.Com,M.Com,"2,10,000",
SEA Group of Institutions,Bengaluru,Karnataka,UG Nursing,GNM,"2,65,000",
SEA Group of Institutions,Bengaluru,Karnataka,PG Nursing,M.Sc Nursing (All Specializations),"2,15,000",
SEA Group of Institutions,Bengaluru,Karnataka,UG Allied Health,B.Sc AT&OT / MIT,"5,20,000",
SEA Group of Institutions,Bengaluru,Karnataka,Law,LLB 3 Years,"2,95,000",
SEA Group of Institutions,Bengaluru,Karnataka,Law,BA LLB 5 Years,"4,25,000",
SEA Group of Institutions,Bengaluru,Karnataka,B.Ed,B.Ed,"1,90,000",
RR Institutions,Bengaluru,Karnataka,BE,AI & ML / CSE AI-ML / CSE / CSE AI-DS,Not listed,Hostel-inclusive fee; exam fees extra
RR Institutions,Bengaluru,Karnataka,BE,ISE / Civil / ECE / EEE / Mechanical,Not listed,See institution for fees
RR Institutions,Bengaluru,Karnataka,MBA,MBA Dual Specialization,Not listed,
RR Institutions,Bengaluru,Karnataka,BBA,BBA / BBA Aviation & Logistics,Not listed,
RR Institutions,Bengaluru,Karnataka,BCA,BCA AI-ML / Data Analytics / Cyber Security,Not listed,
RR Institutions,Bengaluru,Karnataka,UG Nursing,B.Sc Nursing / GNM,Not listed,Package includes basic hostel
RR Institutions,Bengaluru,Karnataka,UG Allied Health,B.Sc Allied Health Sciences (multiple),Not listed,
RR Institutions,Bengaluru,Karnataka,B.Pharm / Pharm.D,B.Pharm / D.Pharm / Pharm.D / M.Pharm,Not listed,
RR Institutions,Bengaluru,Karnataka,UG Allied Health,BPT / MPT,Not listed,
SAN International College of Arts & Science,"Palakkad, Kerala",Kerala,BBA,BBA CA + Aviation & Airport Management,"2,85,000",Total 3-year
SAN International College of Arts & Science,"Palakkad, Kerala",Kerala,BBA,BBA + Hospital Administration / Digital Marketing,"3,00,000",
SAN International College of Arts & Science,"Palakkad, Kerala",Kerala,BBA,BBA Aviation + Logistics & SCM,"3,00,000",
SAN International College of Arts & Science,"Palakkad, Kerala",Kerala,B.Com,B.Com CA + Aviation & Logistics,"2,80,000",
SAN International College of Arts & Science,"Palakkad, Kerala",Kerala,B.Com,B.Com Professional Accounting,"3,40,000",
SAN International College of Arts & Science,"Palakkad, Kerala",Kerala,B.Com,B.Com Professional Accounting + CMA USA,"3,20,000",
SAN International College of Arts & Science,"Palakkad, Kerala",Kerala,B.Com,B.Com + ACCA,"3,40,000",
SAN International College of Arts & Science,"Palakkad, Kerala",Kerala,B.Sc,B.Sc Microbiology,"1,35,000",
SAN International College of Arts & Science,"Palakkad, Kerala",Kerala,B.Sc,B.Sc Microbiology + Clinical Data / Environmental Mgmt,"2,40,000",
SAN International College of Arts & Science,"Palakkad, Kerala",Kerala,B.Sc,B.Sc Psychology + Health Care Management,"2,40,000",
SAN International College of Arts & Science,"Palakkad, Kerala",Kerala,M.Sc,M.Sc Microbiology,"1,20,000",Total 2-year
SAN International College of Arts & Science,"Palakkad, Kerala",Kerala,MBA,Hybrid MBA (Anna University),"1,80,000",
SAN International College of Arts & Science,"Palakkad, Kerala",Kerala,MBA,Global MBA,"2,80,000",
Cochin College Kakkanad,"Kakkanad, Ernakulam",Kerala,BBA,BBA + Aviation & Logistics,"3,85,000",Total 3-year; Adm. ₹30k included
Cochin College Kakkanad,"Kakkanad, Ernakulam",Kerala,BBA,BBA + Airline & Airport Management,"3,45,000",
Cochin College Kakkanad,"Kakkanad, Ernakulam",Kerala,BCA,BCA AI & Data Science + Cyber Security,"3,68,000",
Cochin College Kakkanad,"Kakkanad, Ernakulam",Kerala,BCA,BCA AI & Data Science + Game Development,"3,78,000",
Cochin College Kakkanad,"Kakkanad, Ernakulam",Kerala,B.Com,B.Com + Aviation & Logistics,"3,43,000",
Cochin College Kakkanad,"Kakkanad, Ernakulam",Kerala,B.Com,B.Com + Airline & Airport Management,"3,03,000",
Cochin College Kakkanad,"Kakkanad, Ernakulam",Kerala,B.Com,B.Com + Game Development,"3,36,000",
Cochin College Kakkanad,"Kakkanad, Ernakulam",Kerala,B.Com,B.Com + Trading & Investment Banking,"2,98,000",
Cochin College Kakkanad,"Kakkanad, Ernakulam",Kerala,B.Com,B.Com + FinTech with AI,"2,98,000",
Cochin College Kakkanad,"Kakkanad, Ernakulam",Kerala,B.Com,B.Com Logistics + DGR & Export Management,"2,98,000",
Cochin College Kakkanad,"Kakkanad, Ernakulam",Kerala,B.Sc,B.Sc Cyber Forensic + Cyber Security,"3,68,000",
Cochin College Kakkanad,"Kakkanad, Ernakulam",Kerala,B.Sc,B.Sc Food Technology + Food Science & Entrepreneurship,"3,20,000",
Cochin College Kakkanad,"Kakkanad, Ernakulam",Kerala,B.Sc,B.Sc Microbiology + Food Science,"3,20,000",
Cochin College Kakkanad,"Kakkanad, Ernakulam",Kerala,B.Sc,B.Sc Biotechnology + CLT & Tissue Culture,"3,20,000",
Cochin College Kakkanad,"Kakkanad, Ernakulam",Kerala,B.Sc,B.Sc Psychology + Counselling,"2,95,000",
Cochin College Kakkanad,"Kakkanad, Ernakulam",Kerala,M.Com,M.Com + ACCA,"1,12,000",Total 2-year
Cochin College Kakkanad,"Kakkanad, Ernakulam",Kerala,MBA,MBA + Add-On (Job Ready),"4,70,000",
Cochin College Kakkanad,"Kakkanad, Ernakulam",Kerala,M.Sc,M.Sc AI + Data Science,"2,80,000",
Raja Rajeswari Medical College & Hospital,Bengaluru,Karnataka,UG Nursing,B.Sc Nursing,"10,00,000",Total 4-year
Raja Rajeswari Medical College & Hospital,Bengaluru,Karnataka,PG Nursing,M.Sc Nursing - OBG / Paediatric / Community,"2,00,000",Total 2-year
Raja Rajeswari Medical College & Hospital,Bengaluru,Karnataka,PG Nursing,M.Sc Nursing - Medical Surgical / MHN,"2,50,000",
Raja Rajeswari Medical College & Hospital,Bengaluru,Karnataka,PG Nursing,Post B.Sc Nursing,"2,00,000",
Raja Rajeswari Medical College & Hospital,Bengaluru,Karnataka,UG Allied Health,BPT,"9,00,000",Total 4-year (₹2.25L/yr)
Raja Rajeswari Medical College & Hospital,Bengaluru,Karnataka,PG Allied Health,MPT Neurology / Musculoskeletal,"4,50,000",Total 2-year
Raja Rajeswari Medical College & Hospital,Bengaluru,Karnataka,PG Allied Health,MPT Sports,"4,00,000",
Raja Rajeswari Medical College & Hospital,Bengaluru,Karnataka,PG Allied Health,MPT Cardio,"3,50,000",
Raja Rajeswari Medical College & Hospital,Bengaluru,Karnataka,UG Allied Health,B.Sc Cardiac Care Technology,"6,00,000",Total 3-year
Raja Rajeswari Medical College & Hospital,Bengaluru,Karnataka,UG Allied Health,B.Sc AT & OT / MIT,"6,00,000 – 6,75,000",
Raja Rajeswari Medical College & Hospital,Bengaluru,Karnataka,UG Allied Health,B.Sc MLT / Optometry / Renal Dialysis,"3,00,000 – 4,05,000",
Raja Rajeswari Medical College & Hospital,Bengaluru,Karnataka,UG Allied Health,B.Sc Perfusion Technology,"4,50,000",
Raja Rajeswari Medical College & Hospital,Bengaluru,Karnataka,PG Allied Health,M.Sc Medical Imaging Technology,Not listed,
Raja Rajeswari Medical College & Hospital,Bengaluru,Karnataka,PG Allied Health,M.Sc Echocardiography,Not listed,
RV University (Mysuru Campus),"Nanjangud, Mysuru",Karnataka,B.Tech,B.Tech CS & Engineering (Introductory fee),"4,00,000",1st yr introductory; subsequent yrs lower
